gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CPNE7,27132,interneuron,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 5,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPNE7,27132,layer 6,++++,layer 4C+scattered(5/6),"layer 4+scattered(5,6)"
CPOX,1371,NA,+++,ubiquitous,ubiquitous
CRBN,51185,NA,+++,ubiquitous,ubiquitous
CREB1,1385,NA,++,ubiquitous,ubiquitous
CRH,1392,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
CRHBP,1393,interneuron,+++,scattered,scattered
CRHR1,1394,NA,+++,"ubiquitous(2/3,4)",ubiquitous(2/3/4)
CRHR2,1395,NA,++++,"layer(3),4+scattered","scattered(3,4)"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 2,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 3,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 5,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CRYM,1428,layer 6,+++++,"layer 2/3,5/6","layer 2/3,5/6"
CSMD1,64478,NA,+++,ubiquitous,ubiquitous
CSNK1D,1453,NA,+++,scattered+ubiquitous,scattered+ubiquitous
